Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR251869,2022-10-18 13:58:48,2022-10-18 13:56:04,43635,21817500,43635,500,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251869/DRR251869.lite.1,DRX241626,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260201,SAMD00249804,simple,408170,human gut metagenome,SAMD00249804,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,289F7AF56B828B7E4C8A27770B659777,961C4EADA818BF2F927DFDA9A1152A3D
DRR251870,2022-10-18 13:58:48,2022-10-18 13:55:14,48817,24408500,48817,500,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251870/DRR251870.lite.1,DRX241627,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260202,SAMD00249805,simple,408170,human gut metagenome,SAMD00249805,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,C18AA9183E6005F6AD7F375E49687EA7,C71D3403B981D72987266B216D3B2B17
DRR251871,2022-10-18 13:58:48,2022-10-18 13:48:21,39620,19810000,39620,500,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251871/DRR251871.lite.1,DRX241628,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260203,SAMD00249806,simple,408170,human gut metagenome,SAMD00249806,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,65A7E9806B93E81A02E4F426811A3AB2,6C38AC0E8A99474596BD48DBA452655F
DRR251872,2022-10-18 13:58:48,2022-10-18 13:51:06,44756,22378000,44756,500,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251872/DRR251872.lite.1,DRX241629,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260204,SAMD00249807,simple,408170,human gut metagenome,SAMD00249807,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,DADC875ED4496D45817EE438D6116DFC,812B374D3EFFC786E07A5F06F5687A24
DRR251873,2022-10-18 13:58:48,2022-10-18 13:48:13,36052,18026000,36052,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251873/DRR251873.lite.1,DRX241630,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260205,SAMD00249808,simple,408170,human gut metagenome,SAMD00249808,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,D27CBBA28C9921209007B25972AAB8FA,CA0D99825DD41B6CE042B769E39B5DB7
DRR251874,2022-10-18 13:58:48,2022-10-18 13:50:34,39823,19911500,39823,500,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251874/DRR251874.lite.1,DRX241631,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260206,SAMD00249809,simple,408170,human gut metagenome,SAMD00249809,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,9E8F88839916DAD641DF53F0AE07A4BE,467C2FA81C979D3B08666B89BA77BB1F
DRR251875,2022-10-18 13:58:48,2022-10-18 13:56:28,40472,20236000,40472,500,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251875/DRR251875.lite.1,DRX241632,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260207,SAMD00249810,simple,408170,human gut metagenome,SAMD00249810,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,AFAACAD778F0EFC19F18A0B4A495D87A,19D0A11A5162BD96B08F0D06B53E181C
DRR251876,2022-10-18 13:58:48,2022-10-18 13:54:17,134003,67001500,134003,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251876/DRR251876.lite.1,DRX241633,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260208,SAMD00249811,simple,408170,human gut metagenome,SAMD00249811,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,3D93C76C5FC029CEF36D0A150078D5EB,E05A6EDCB0183E4872A5EA664467E47B
DRR251877,2022-10-18 13:58:48,2022-10-18 13:47:40,39212,19606000,39212,500,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251877/DRR251877.lite.1,DRX241634,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260209,SAMD00249812,simple,408170,human gut metagenome,SAMD00249812,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,FBD0A02976AB7DCD0665856CFD78976A,97CDED27ADBB46F39E3B3B3FCEA3837B
DRR251878,2022-10-18 13:58:48,2022-10-18 13:51:42,79017,39508500,79017,500,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/251/DRR251878/DRR251878.lite.1,DRX241635,amplicon library,AMPLICON,PCR,METAGENOMIC,PAIRED,430,0,ILLUMINA,Illumina MiSeq,DRP009108,PRJDB10610,,891943,DRS260210,SAMD00249813,simple,408170,human gut metagenome,SAMD00249813,,,,,,,no,,,,,TAKARA_BIO,DRA010965,,public,91609C67F6B20C2EE21F63E84EAB386A,D867A930BD06935D6131B9B087B5298E
